"Year","Month","DiversityCoeff"
1985,1,0.0257424099118753
1985,2,0.085123623339695
1985,3,0.0868107722600041
1985,4,0.0838424665462878
1985,5,0.0658247106325126
1985,6,0.0861669334449913
1985,7,0.0929589855533776
1985,8,0.081571853137595
1985,9,0.0809107908139823
1985,10,0.0915202651945119
1985,11,0.0595913219531004
1985,12,0.0451421293402833
1986,1,0.0752143964761125
1986,2,0.0713105951056295
1986,3,0.0948574086143936
1986,4,0.0934327138839465
1986,5,0.0606047373474807
1986,6,0.0399772893074591
1986,7,0.0578542180460317
1986,8,0.062078790736493
1986,9,0.0548378123866951
1986,10,0.0487510162401497
1986,11,0.117213185582628
1986,12,0.0732857452399304
1987,1,0.0890829868650133
1987,2,0.110682164594465
1987,3,0.131459533550684
1987,4,0.137348660331501
1987,5,0.15199711684761
1987,6,0.143394959632527
1987,7,0.134252359229778
1987,8,0.112468892182122
1987,9,0.0930853862359996
1987,10,0.0880433149879681
1987,11,0.100413449117313
1987,12,0.0950910630298768
1988,1,0.0818693585530281
1988,2,0.100348192686476
1988,3,0.108583749642215
1988,4,0.114544255856127
1988,5,0.0998996257686104
1988,6,0.103198800903181
1988,7,0.126742579264686
1988,8,0.119871043154965
1988,9,0.132852224379621
1988,10,0.127264014219642
1988,11,0.127272300194631
1988,12,0.143255317454507
1989,1,0.129649923691745
1989,2,0.141468373591695
1989,3,0.118874031926426
1989,4,0.110206411697454
1989,5,0.0968998450678809
1989,6,0.102845913256763
1989,7,0.11545278009674
1989,8,0.117529303350466
1989,9,0.112153676471661
1989,10,0.106140296843833
1989,11,0.099587721092377
1989,12,0.105671035620038
1990,1,0.11399308039953
1990,2,0.107698264026629
1990,3,0.112472534572589
1990,4,0.114274872925797
1990,5,0.0946932467691328
1990,6,0.0886993231023442
1990,7,0.108293056069853
1990,8,0.118176734162756
1990,9,0.124428445353625
1990,10,0.12517377815712
1990,11,0.122210067348263
1990,12,0.104398381335125
1991,1,0.108570156517736
1991,2,0.119121832861198
1991,3,0.0996943809057989
1991,4,0.0949083190874662
1991,5,0.120921084789576
1991,6,0.10085279335745
1991,7,0.103207756616615
1991,8,0.120596405305714
1991,9,0.0994149384998432
1991,10,0.103423928332403
1991,11,0.106702057699333
1991,12,0.110000421745279
1992,1,0.0983340652695709
1992,2,0.109589456481754
1992,3,0.103518160048648
1992,4,0.101598248512163
1992,5,0.0978805244482824
1992,6,0.0937898958551111
1992,7,0.094956500461713
1992,8,0.101224390762334
1992,9,0.100835070921414
1992,10,0.0913389125574498
1992,11,0.119567560472317
