"Env","State","Distance","Type"
0,1,0.5025,1
0.000721442885771543,0.998561864449827,0.500082839529592,1
0.00144288577154309,0.997118839457781,0.49766249194172,1
0.00216432865731463,0.995670875179581,0.495238925303778,1
0.00288577154308617,0.994217920920482,0.492812107143607,1
0.00360721442885772,0.992759925114846,0.490382004436613,1
0.00432865731462926,0.991296835305074,0.487948583592489,1
0.0050501002004008,0.989828598119884,0.485511810441519,1
0.00577154308617234,0.9883551592519,0.483071650220461,1
0.00649298597194389,0.986876463434534,0.480628067557973,1
0.00721442885771543,0.985392454418124,0.478181026459585,1
0.00793587174348697,0.983903074945309,0.475730490292177,1
0.00865731462925852,0.982408266725602,0.473276421767975,1
0.00937875751503006,0.980907970409134,0.470818782928005,1
0.0101002004008016,0.979402125559533,0.46835753512502,1
0.0108216432865731,0.977890670625911,0.465892639005859,1
0.0115430861723447,0.976373542913904,0.463424054493219,1
0.0122645290581162,0.974850678555748,0.460951740766816,1
0.0129859719438878,0.973322012479338,0.458475656243915,1
0.0137074148296593,0.97178747837623,0.455995758559192,1
0.0144288577154309,0.970247008668544,0.453512004543906,1
0.0151503006012024,0.968700534474717,0.451024350204361,1
0.0158717434869739,0.96714798557406,0.448532750699611,1
0.0165931863727455,0.965589290370074,0.44603716031838,1
0.017314629258517,0.964024375852453,0.443537532455177,1
0.0180360721442886,0.962453167557739,0.441033819585553,1
0.0187575150300601,0.96087558952855,0.438525973240471,1
0.0194789579158317,0.959291564271332,0.436013943979747,1
0.0202004008016032,0.957701012712562,0.433497681364528,1
0.0209218436873747,0.956103854153331,0.430977133928748,1
0.0216432865731463,0.954500006222239,0.428452249149536,1
0.0223647294589178,0.95288938482652,0.425922973416507,1
0.0230861723446894,0.951271904101314,0.423389251999901,1
0.0238076152304609,0.949647476357006,0.420851029017511,1
0.0245290581162325,0.948016012024534,0.418308247400338,1
0.025250501002004,0.946377419598573,0.41576084885692,1
0.0259719438877755,0.944731605578497,0.413208773836267,1
0.0266933867735471,0.943078474406997,0.410651961489338,1
0.0274148296593186,0.941417928406264,0.40809034962899,1
0.0281362725450902,0.939749867711597,0.405523874688316,1
0.0288577154308617,0.938074190202318,0.402952471677305,1
0.0295791583166333,0.936390791429858,0.400376074137729,1
0.0303006012024048,0.934699564542867,0.397794614096172,1
0.0310220440881764,0.933000400209203,0.395208022015114,1
0.0317434869739479,0.93129318653464,0.392616226741951,1
0.0324649298597194,0.929577808978106,0.390019155455865,1
0.033186372745491,0.927854150263304,0.387416733612424,1
0.0339078156312625,0.926122090286485,0.384808884885781,1
0.0346292585170341,0.924381506020201,0.382195531108364,1
0.0353507014028056,0.922632271412799,0.379576592207909,1
0.0360721442885771,0.920874257283435,0.376951986141688,1
0.0367935871743487,0.919107331212352,0.374321628827796,1
0.0375150300601202,0.917331357426175,0.371685434073311,1
0.0382364729458918,0.915546196677924,0.36904331349917,1
0.0389579158316633,0.913751706121454,0.366395176461569,1
0.0396793587174349,0.911947739180011,0.36374092996968,1
0.0404008016032064,0.910134145408542,0.361080478599486,1
0.041122244488978,0.908310770349415,0.358413724403501,1
0.0418436873747495,0.906477455381146,0.355740566816127,1
0.042565130260521,0.904634037559719,0.353060902554398,1
0.0432865731462926,0.902780349452051,0.350374625513821,1
0.0440080160320641,0.900916218961113,0.347681626659029,1
