"Env","State","Distance"
0.36,0.0217525718330997,0.449458222425285
0.359278557114228,0.0217875863729491,0.448712933370443
0.358557114228457,0.0218227165113975,0.44796756673589
0.357835671342685,0.0218579628350845,0.447222122133419
0.357114228456914,0.0218933259347126,0.446476599172173
0.356392785571142,0.0219288064050836,0.445730997458614
0.355671342685371,0.0219644048451344,0.444985316596507
0.354949899799599,0.0220001218579741,0.444239556186891
0.354228456913828,0.0220359580509209,0.443493715828059
0.353507014028056,0.0220719140355398,0.442747795115531
0.352785571142285,0.0221079904276806,0.442001793642032
0.352064128256513,0.0221441878475159,0.441255710997463
0.351342685370741,0.0221805069195803,0.440509546768881
0.35062124248497,0.0222169482728095,0.439763300540473
0.349899799599198,0.0222535125405798,0.439016971893524
0.349178356713427,0.0222902003607484,0.438270560406402
0.348456913827655,0.0223270123756937,0.437524065654521
0.347735470941884,0.0223639492323565,0.436777487210324
0.347014028056112,0.0224010115822811,0.436030824643248
0.346292585170341,0.0224382000816577,0.435284077519704
0.345571142284569,0.0224755153913642,0.434537245403046
0.344849699398798,0.0225129581770095,0.433790327853543
0.344128256513026,0.0225505291089764,0.433043324428352
0.343406813627254,0.0225882288624658,0.432296234681493
0.342685370741483,0.0226260581175407,0.431549058163814
0.341963927855711,0.022664017559171,0.430801794422967
0.34124248496994,0.022702107877279,0.43005444300338
0.340521042084168,0.022740329766785,0.42930700344622
0.339799599198397,0.0227786839276537,0.428559475289372
0.339078156312625,0.0228171710649411,0.427811858067406
0.338356713426854,0.0228557918888417,0.427064151311541
0.337635270541082,0.0228945471147367,0.426316354549624
0.336913827655311,0.0229334374632424,0.42556846730609
0.336192384769539,0.0229724636602589,0.424820489101937
0.335470941883768,0.0230116264370203,0.424072419454688
0.334749498997996,0.0230509265301442,0.423324257878365
0.334028056112224,0.0230903646816829,0.422576003883451
0.333306613226453,0.0231299416391746,0.421827656976861
0.332585170340681,0.0231696581556954,0.421079216661908
0.33186372745491,0.0232095149899115,0.420330682438265
0.331142284569138,0.0232495129061328,0.419582053801936
0.330420841683367,0.0232896526743663,0.418833330245221
0.329699398797595,0.0233299350703707,0.418084511256677
0.328977955911824,0.0233703608757113,0.417335596321088
0.328256513026052,0.0234109308778156,0.416586584919424
0.327535070140281,0.02345164587003,0.415837476528809
0.326813627254509,0.0234925066516763,0.415088270622483
0.326092184368737,0.0235335140281095,0.414338966669764
0.325370741482966,0.0235746688107764,0.413589564136013
0.324649298597194,0.0236159718172744,0.412840062482593
0.323927855711423,0.0236574238714113,0.412090461166832
0.323206412825651,0.0236990258032656,0.411340759641985
0.32248496993988,0.023740778449248,0.410590957357196
0.321763527054108,0.023782682652163,0.409841053757453
0.321042084168337,0.0238247392612716,0.409091048283554
0.320320641282565,0.023866949132355,0.408340940372063
0.319599198396794,0.0239093131277783,0.407590729455269
0.318877755511022,0.0239518321165556,0.406840414961145
0.31815631262525,0.0239945069744161,0.406089996313308
0.317434869739479,0.02403733858387,0.40533947293097
0.316713426853707,0.0240803278342764,0.404588844228903
0.315991983967936,0.024123475621911,0.403838109617389
0.315270541082164,0.0241667828500354,0.403087268502178
0.314549098196393,0.0242102504289669,0.402336320284446
0.313827655310621,0.0242538792761488,0.401585264360745
0.31310621242485,0.0242976703162227,0.40083410012296
0.312384769539078,0.0243416244811003,0.400082826958262
0.311663326653307,0.024385742710037,0.39933144424906
0.310941883767535,0.024430025949706,0.398579951372956
0.310220440881763,0.0244744751542739,0.397828347702695
0.309498997995992,0.0245190912854761,0.397076632606117
0.30877755511022,0.0245638753126944,0.396324805446107
0.308056112224449,0.0246088282130352,0.395572865580544
0.307334669338677,0.0246539509714076,0.394820812362256
0.306613226452906,0.0246992445806043,0.394068645138961
0.305891783567134,0.0247447100413823,0.39331636325322
0.305170340681363,0.0247903483625448,0.392563966042385
0.304448897795591,0.0248361605610244,0.391811452838543
0.30372745490982,0.0248821476619671,0.391058822968464
0.303006012024048,0.0249283106988176,0.390306075753548
0.302284569138277,0.0249746507134056,0.389553210509766
0.301563126252505,0.025021168756033,0.388800226547608
0.300841683366733,0.0250678658855627,0.388047123172022
0.300120240480962,0.0251147431695078,0.387293899682364
0.29939879759519,0.0251618016841229,0.386540555372333
0.298677354709419,0.0252090425144956,0.385787089529914
0.297955911823647,0.02525646675464,0.385033501437322
0.297234468937876,0.0253040755075908,0.384279790370936
0.296513026052104,0.025351869885499,0.383525955601246
0.295791583166333,0.0253998510097289,0.382771996392782
0.295070140280561,0.0254480200109558,0.382017912004058
0.29434869739479,0.0254963780292657,0.381263701687505
0.293627254509018,0.025544926214256,0.38050936468941
0.292905811623246,0.0255936657251374,0.379754900249849
0.292184368737475,0.0256425977308372,0.379000307602619
0.291462925851703,0.0256917234101041,0.378245585975177
0.290741482965932,0.0257410439516144,0.377490734588565
0.29002004008016,0.0257905605540796,0.37673575265735
0.289298597194389,0.0258402744263551,0.375980639389545
0.288577154308617,0.0258901867875506,0.375225393986547
0.287855711422846,0.0259402988671425,0.374470015643061
0.287134268537074,0.0259906119050868,0.373714503547029
0.286412825651303,0.0260411271519343,0.372958856879556
0.285691382765531,0.0260918458689467,0.37220307481484
0.28496993987976,0.0261427693282154,0.37144715652009
0.284248496993988,0.0261938988127805,0.370691101155454
0.283527054108216,0.0262452356167522,0.369934907873942
