"X","Y","Type","Class"
-73.9583333333333,-51.125,1,"2"
-68.875,-49.9583333333333,1,"1"
-72.625,-49.7083333333333,1,"2"
-72.9583333333333,-49.2083333333333,1,"2"
-72.7916666666667,-46.375,1,"2"
-73.875,-46.0416666666667,1,"1"
-73.7916666666667,-46.0416666666667,1,"1"
-68.875,-45.7916666666667,1,"1"
170.291666666667,-45.2083333333333,1,"2"
169.375,-44.9583333333333,1,"2"
170.541666666667,-44.9583333333333,1,"2"
170.125,-44.2916666666667,1,"2"
-70.125,-44.0416666666667,1,"1"
171.208333333333,-44.0416666666667,1,"2"
-70.125,-43.7916666666667,1,"1"
-69.7916666666667,-43.7916666666667,1,"1"
-69.5416666666667,-42.7083333333333,1,"1"
147.541666666667,-42.625,1,"1"
-68.4583333333333,-42.5416666666667,1,"1"
-68.375,-42.5416666666667,1,"1"
172.708333333333,-42.5416666666667,1,"2"
-69.125,-42.2916666666667,1,"1"
-67.7083333333333,-41.875,1,"1"
144.875,-41.375,1,"2"
-66.9583333333333,-41.2916666666667,1,"1"
176.125,-40.7083333333333,1,"1"
-68.875,-40.625,1,"1"
-63.5416666666667,-40.625,1,"2"
-70.125,-39.375,1,"1"
-69.9583333333333,-38.9583333333333,1,"1"
145.958333333333,-38.875,1,"2"
-69.7916666666667,-38.7916666666667,1,"1"
-69.7083333333333,-38.7916666666667,1,"1"
-66.125,-38.7083333333333,1,"1"
174.958333333333,-38.4583333333333,1,"1"
-61.2916666666667,-38.375,1,"2"
143.458333333333,-38.375,1,"1"
146.958333333333,-38.2916666666667,1,"2"
147.125,-38.2083333333333,1,"2"
-61.4583333333333,-38.0416666666667,1,"2"
146.958333333333,-38.0416666666667,1,"2"
175.791666666667,-38.0416666666667,1,"2"
147.291666666667,-37.875,1,"2"
-70.125,-37.7916666666667,1,"1"
-60.2916666666667,-37.5416666666667,1,"1"
-60.2083333333333,-37.5416666666667,1,"1"
148.291666666667,-37.5416666666667,1,"1"
148.541666666667,-37.4583333333333,1,"1"
-67.875,-37.375,1,"1"
142.291666666667,-37.375,1,"1"
-72.2083333333333,-37.2916666666667,1,"1"
-58.875,-37.2083333333333,1,"1"
147.125,-37.125,1,"2"
-58.125,-37.0416666666667,1,"2"
-58.125,-36.9583333333333,1,"2"
-57.5416666666667,-36.9583333333333,1,"2"
-56.7916666666667,-36.875,1,"2"
145.791666666667,-36.875,1,"1"
-59.875,-36.7083333333333,1,"1"
-57.0416666666667,-36.7083333333333,1,"2"
148.458333333333,-36.5416666666667,1,"2"
-59.4583333333333,-36.375,1,"1"
-60.7916666666667,-36.2083333333333,1,"1"
149.041666666667,-36.125,1,"2"
-58.2083333333333,-36.0416666666667,1,"2"
-57.7083333333333,-36.0416666666667,1,"1"
-59.4583333333333,-35.875,1,"1"
-59.2083333333333,-35.875,1,"2"
-58.9583333333333,-35.875,1,"2"
-58.7916666666667,-35.875,1,"2"
-69.4583333333333,-35.7916666666667,1,"1"
-57.5416666666667,-35.7083333333333,1,"2"
-69.2083333333333,-35.625,1,"1"
149.625,-35.625,1,"2"
-59.375,-35.5416666666667,1,"2"
-57.7916666666667,-35.5416666666667,1,"2"
150.291666666667,-35.5416666666667,1,"2"
-71.2916666666667,-35.4583333333333,1,"1"
-57.7916666666667,-35.4583333333333,1,"2"
-59.2083333333333,-35.375,1,"2"
-58.125,-35.375,1,"2"
-57.7916666666667,-35.375,1,"2"
138.541666666667,-35.375,1,"1"
-57.9583333333333,-35.2916666666667,1,"2"
-57.7083333333333,-35.2916666666667,1,"2"
150.458333333333,-35.2083333333333,1,"2"
-61.4583333333333,-35.125,1,"1"
-59.875,-35.125,1,"2"
-58.0416666666667,-35.125,1,"2"
-57.875,-35.125,1,"2"
139.458333333333,-35.125,1,"2"
150.541666666667,-35.125,1,"2"
-57.875,-35.0416666666667,1,"2"
-57.7916666666667,-34.9583333333333,1,"2"
-69.7083333333333,-34.7916666666667,1,"1"
150.375,-34.5416666666667,1,"1"
150.458333333333,-34.4583333333333,1,"1"
135.375,-34.2916666666667,1,"2"
-70.7083333333333,-34.2083333333333,1,"1"
-53.7083333333333,-34.125,1,"2"
23.7083333333333,-33.875,1,"1"
149.708333333333,-33.875,1,"2"
-61.4583333333333,-33.7083333333333,1,"2"
-66.875,-33.625,1,"1"
-65.5416666666667,-33.625,1,"1"
-65.5416666666667,-33.5416666666667,1,"1"
26.2916666666667,-33.5416666666667,1,"1"
26.4583333333333,-33.5416666666667,1,"1"
26.625,-33.5416666666667,1,"1"
25.5416666666667,-33.375,1,"1"
-55.5416666666667,-33.125,1,"2"
27.5416666666667,-33.125,1,"1"
-66.2916666666667,-33.0416666666667,1,"1"
115.791666666667,-33.0416666666667,1,"1"
124.041666666667,-33.0416666666667,1,"2"
-71.2916666666667,-32.9583333333333,1,"2"
150.375,-32.9583333333333,1,"1"
137.708333333333,-32.875,1,"2"
-54.4583333333333,-32.7916666666667,1,"2"
-52.625,-32.7916666666667,1,"2"
151.791666666667,-32.7916666666667,1,"2"
26.5416666666667,-32.7083333333333,1,"1"
-66.7916666666667,-32.625,1,"1"
152.041666666667,-32.625,1,"2"
150.625,-32.4583333333333,1,"2"
-68.7083333333333,-32.2916666666667,1,"2"
-58.2083333333333,-32.2916666666667,1,"2"
-53.5416666666667,-32.2916666666667,1,"2"
151.125,-32.2916666666667,1,"1"
-64.4583333333333,-32.2083333333333,1,"1"
-62.2083333333333,-32.125,1,"1"
151.125,-32.125,1,"1"
-69.625,-31.9583333333333,1,"1"
-68.5416666666667,-31.9583333333333,1,"2"
-58.2083333333333,-31.9583333333333,1,"2"
-53.375,-31.9583333333333,1,"2"
-65.4583333333333,-31.625,1,"1"
-57.7083333333333,-31.625,1,"2"
-53.4583333333333,-31.625,1,"2"
-52.9583333333333,-31.625,1,"2"
24.625,-31.625,1,"1"
-68.2916666666667,-31.5416666666667,1,"1"
-53.625,-31.5416666666667,1,"2"
-53.375,-31.5416666666667,1,"2"
-53.2916666666667,-31.5416666666667,1,"2"
-70.9583333333333,-31.4583333333333,1,"1"
-66.375,-31.4583333333333,1,"1"
-64.9583333333333,-31.375,1,"2"
119.375,-31.2916666666667,1,"1"
151.458333333333,-31.2083333333333,1,"1"
-54.5416666666667,-31.125,1,"2"
-53.7083333333333,-31.125,1,"2"
122.458333333333,-31.125,1,"2"
151.458333333333,-31.125,1,"1"
-53.7916666666667,-31.0416666666667,1,"2"
-52.7916666666667,-31.0416666666667,1,"2"
22.5416666666667,-31.0416666666667,1,"1"
-55.7916666666667,-30.9583333333333,1,"2"
150.958333333333,-30.9583333333333,1,"1"
-70.9583333333333,-30.875,1,"1"
-61.2083333333333,-30.875,1,"1"
151.125,-30.875,1,"1"
151.291666666667,-30.7916666666667,1,"1"
120.458333333333,-30.7083333333333,1,"2"
-52.2916666666667,-30.625,1,"2"
23.2916666666667,-30.4583333333333,1,"1"
-52.4583333333333,-30.375,1,"2"
-61.375,-30.2916666666667,1,"2"
-52.4583333333333,-30.2083333333333,1,"1"
29.875,-30.2083333333333,1,"1"
120.291666666667,-30.2083333333333,1,"1"
-62.2916666666667,-30.0416666666667,1,"2"
-53.125,-30.0416666666667,1,"2"
-52.375,-30.0416666666667,1,"2"
-52.2916666666667,-30.0416666666667,1,"2"
-60.0416666666667,-29.7916666666667,1,"1"
-55.0416666666667,-29.7916666666667,1,"2"
-54.625,-29.7083333333333,1,"2"
-54.375,-29.7083333333333,1,"2"
-58.2916666666667,-29.625,1,"2"
-57.7083333333333,-29.625,1,"2"
-54.375,-29.625,1,"2"
-57.5416666666667,-29.5416666666667,1,"2"
-54.5416666666667,-29.5416666666667,1,"2"
-54.375,-29.5416666666667,1,"2"
117.625,-29.4583333333333,1,"2"
149.791666666667,-29.4583333333333,1,"1"
-53.2916666666667,-29.375,1,"2"
-68.4583333333333,-29.2916666666667,1,"1"
-60.5416666666667,-29.2916666666667,1,"2"
-58.0416666666667,-29.2916666666667,1,"2"
-49.7916666666667,-29.125,1,"2"
31.0416666666667,-29.0416666666667,1,"1"
-68.4583333333333,-28.9583333333333,1,"1"
-58.625,-28.875,1,"1"
-54.7083333333333,-28.875,1,"2"
-60.125,-28.7916666666667,1,"2"
-66.2916666666667,-28.7083333333333,1,"1"
26.375,-28.7083333333333,1,"2"
27.2916666666667,-28.7083333333333,1,"2"
-55.7083333333333,-28.5416666666667,1,"2"
31.9583333333333,-28.5416666666667,1,"1"
-67.2083333333333,-28.4583333333333,1,"1"
-57.875,-28.4583333333333,1,"2"
-51.5416666666667,-28.4583333333333,1,"2"
-61.2083333333333,-28.375,1,"1"
-56.2083333333333,-28.2083333333333,1,"2"
-59.4583333333333,-28.125,1,"2"
152.208333333333,-28.125,1,"1"
153.125,-28.125,1,"1"
-67.2083333333333,-28.0416666666667,1,"2"
27.7916666666667,-27.875,1,"1"
30.125,-27.875,1,"1"
30.7916666666667,-27.875,1,"1"
-59.375,-27.7916666666667,1,"2"
128.958333333333,-27.7916666666667,1,"1"
-59.4583333333333,-27.7083333333333,1,"2"
-56.375,-27.625,1,"2"
-59.2916666666667,-27.5416666666667,1,"2"
-59.2916666666667,-27.4583333333333,1,"2"
-55.0416666666667,-27.375,1,"2"
129.125,-27.375,1,"1"
129.208333333333,-27.375,1,"1"
-66.5416666666667,-27.2916666666667,1,"1"
-60.4583333333333,-27.2916666666667,1,"2"
-59.2083333333333,-27.2916666666667,1,"2"
-58.875,-27.2916666666667,1,"2"
119.125,-27.2916666666667,1,"1"
-59.2916666666667,-27.2083333333333,1,"2"
28.0416666666667,-27.2083333333333,1,"1"
119.125,-27.2083333333333,1,"1"
